AggGroup,scale_factor,FractionalChange_mean,FractionalChange_std,RatioChange_mean ,RatioChange_std,Production_scenario_mean ,Production_scenario_std  ,Production_base_mean ,Production_base_std
eupahusiids,1.25,-0.005018794,0.006890875,0.994981206,0.006890875,22.99791156,14.08923381,23.0865655,14.09379831
gelatinous_zoop,1.25,-0.019235346,0.01773986,0.980764654,0.01773986,237.6556169,123.4416461,241.7960124,123.9773978
large_jellyfish,1.25,0.223291162,0.022088163,1.223291162,0.022088163,189.5270861,81.90913693,154.5383302,66.01635227
gulf_menhaden,1.25,-0.018051725,0.016007438,0.981948275,0.016007438,696.226141,361.0674496,706.4577296,361.1212632
forage_fish,1.25,-0.045813351,0.032268237,0.954186649,0.032268237,87.74502586,45.19373877,92.09096738,47.23935341
pelagic_fish_planktivore,1.25,-0.025215984,0.016735523,0.974784016,0.016735523,251.1996093,76.0593166,257.479067,77.47823715
demersal_fish_piscivore,1.25,-0.016279237,0.012110462,0.983720763,0.012110462,8.532209949,2.711047416,8.673111889,2.748601651
demersal_fish_benthivore,1.25,-0.022378097,0.016366032,0.977621903,0.016366032,142.9060676,38.73791546,146.2283101,39.73715399
pelagic_fish_apex_predator,1.25,-0.022006987,0.012149879,0.977993013,0.012149879,3.735394631,1.46514526,3.815147456,1.483397213
pelagic_fish_piscivore,1.25,-0.030401778,0.017317194,0.969598222,0.017317194,25.32487474,7.818094275,26.09034044,7.925384366
cepahlopods,1.25,-0.086043528,0.043414011,0.913956472,0.043414011,24.64614074,8.934357427,26.86065739,9.368870188
benthos_epifauna,1.25,-0.003561726,0.003908582,0.996438274,0.003908582,116.0469788,40.0163,116.4295319,40.05264447
benthos_filter_feeders,1.25,-0.000658484,0.00155125,0.999341516,0.00155125,391.8903786,182.6966903,392.2103859,183.1136223
benthos_infauna,1.25,-0.001393608,0.002389011,0.998606392,0.002389011,105.7539363,47.21380769,105.9374784,47.59256127
seabirds,1.25,-0.026504173,0.017524323,0.973495827,0.017524323,0.064102665,0.030527354,0.065782148,0.031180238
turtle,1.25,-0.008488138,0.071342057,0.991511862,0.071342057,0.007451875,0.004651627,0.007411844,0.004272574
odontocetes,1.25,-0.054971652,0.028910332,0.945028348,0.028910332,0.483910037,0.28544772,0.513426597,0.305648213
baleen_whales,1.25,-0.153551416,0.123408666,0.846448584,0.123408666,0.000125856,8.06E-05,0.000147937,8.85E-05
fish_eggs,1.25,-0.022209051,0.013087983,0.977790949,0.013087983,5.862673746,1.529806239,5.989398591,1.531216769
detritus_offal,1.25,-0.018470443,0.014979727,0.981529557,0.014979727,0.809756863,0.737057716,0.82187267,0.743135754
fisheries,1.25,-0.018470443,0.014979727,0.981529557,0.014979727,3.753914657,2.561487385,3.810652448,2.578020199
pelagic_detritus,1.25,-0.000522301,0.000633683,0.999477699,0.000633683,1280.078135,247.9631693,1280.736781,248.0074371
benthic_detritus,1.25,0.000229565,0.000810961,1.000229565,0.000810961,562.1340852,72.17669891,562.0125949,72.21826325
NO3,1.3,0,0,0,0,0,0,0,0
pelagic_NH4,1.3,-0.002493405,0.0016073,0.997506595,0.0016073,3283.248307,480.7521865,3291.276177,480.7234576
benthic_NH4,1.3,0.003842768,0.002561652,1.003842768,0.002561652,1981.052051,419.6402599,1973.755627,419.4168497
phytoplankton,1.3,0,0,1,0,6145.228686,1.42E-10,6145.228686,1.42E-10
microphytobethos,1.3,0,0,1,0,706.6794,1.26E-11,706.6794,1.26E-11
macroalgae_other,1.3,0,0,1,0,3492.89766,7.83E-11,3492.89766,7.83E-11
