AggGroup,scale_factor,FractionalChange_mean,FractionalChange_std,RatioChange_mean ,RatioChange_std,Production_scenario_mean ,Production_scenario_std  ,Production_base_mean ,Production_base_std
benthos_infauna,1.2,-0.001400829,0.000922079,0.998599171,0.000922079,105.7878198,47.53144147,105.9374784,47.59256127
seabirds,1.2,0.034287446,0.035899849,1.034287446,0.035899849,0.068152435,0.033017872,0.065782148,0.031180238
turtle,1.2,-0.01076752,0.009262954,0.98923248,0.009262954,0.007334871,0.004226479,0.007411844,0.004272574
odontocetes,1.2,-0.009824807,0.010756005,0.990175193,0.010756005,0.507353277,0.300284504,0.513426597,0.305648213
baleen_whales,1.2,-0.004790785,0.011879605,0.995209215,0.011879605,0.000147057,8.78E-05,0.000147937,8.85E-05
fish_eggs,1.2,-0.003276938,0.003035158,0.996723062,0.003035158,5.969619006,1.52888244,5.989398591,1.531216769
detritus_offal,1.2,-0.009458191,0.007723798,0.990541809,0.007723798,0.815468481,0.740347692,0.82187267,0.743135754
fisheries,1.2,-0.009458191,0.007723798,0.990541809,0.007723798,3.781177405,2.571136304,3.810652448,2.578020199
pelagic_detritus,1.2,-0.000349272,0.000344656,0.999650728,0.000344656,1280.28804,247.9191675,1280.736781,248.0074371
benthic_detritus,1.2,-0.000182605,0.000298396,0.999817395,0.000298396,561.9099286,72.20473071,562.0125949,72.21826325
NO3,1.25,0,0,0,0,0,0,0,0
pelagic_NH4,1.25,0.001562399,0.001105542,1.001562399,0.001105542,3296.270606,480.4561373,3291.276177,480.7234576
benthic_NH4,1.25,-0.002079339,0.001358259,0.997920661,0.001358259,1969.776869,419.1611372,1973.755627,419.4168497
phytoplankton,1.25,0,0,1,0,6145.228686,1.42E-10,6145.228686,1.42E-10
microphytobethos,1.25,0,0,1,0,706.6794,1.26E-11,706.6794,1.26E-11
macroalgae_other,1.25,0,0,1,0,3492.89766,7.83E-11,3492.89766,7.83E-11
microbe,1.25,-0.000676819,0.000500552,0.999323181,0.000500552,1441.990482,586.3065364,1442.871025,586.4360943
micro_zooplankton,1.25,-0.000259848,0.000309185,0.999740152,0.000309185,1399.423117,803.7751336,1399.708761,803.840665
meso_zooplankton,1.25,-0.000190528,0.000139401,0.999809472,0.000139401,5144.992312,803.2388952,5145.935328,803.2003794
macro_zooplankton,1.25,-0.017159393,0.013917818,0.982840607,0.013917818,55.10072341,18.07018322,56.12382074,18.59171186
eupahusiids,1.25,-0.003648824,0.005318039,0.996351176,0.005318039,23.02420871,14.0918468,23.0865655,14.09379831
gelatinous_zoop,1.25,-0.011284986,0.011924662,0.988715014,0.011924662,239.3546243,123.6262976,241.7960124,123.9773978
large_jellyfish,1.25,-0.026548713,0.01901788,0.973451287,0.01901788,150.3894073,64.37379367,154.5383302,66.01635227
gulf_menhaden,1.25,-0.011159172,0.01004307,0.988840828,0.01004307,700.1105168,361.3502612,706.4577296,361.1212632
forage_fish,1.25,0.249038696,0.000563294,1.249038696,0.000563294,115.0241608,58.99441589,92.09096738,47.23935341
pelagic_fish_planktivore,1.25,-0.013406902,0.011100616,0.986593098,0.011100616,254.0110958,76.31549763,257.479067,77.47823715
demersal_fish_piscivore,1.25,-0.019450197,0.012690317,0.980549803,0.012690317,8.498625533,2.678313752,8.673111889,2.748601651
demersal_fish_benthivore,1.25,-0.019008284,0.010940089,0.980991716,0.010940089,143.3880361,38.82298724,146.2283101,39.73715399
pelagic_fish_apex_predator,1.25,-0.009805088,0.014169145,0.990194912,0.014169145,3.769976347,1.443403382,3.815147456,1.483397213
pelagic_fish_piscivore,1.25,0.021689736,0.024424758,1.021689736,0.024424758,26.60023221,7.875292475,26.09034044,7.925384366
cepahlopods,1.25,-0.023749835,0.016099829,0.976250165,0.016099829,26.19229432,9.039559351,26.86065739,9.368870188
benthos_epifauna,1.25,-0.005234091,0.003297367,0.994765909,0.003297367,115.8468406,39.92033488,116.4295319,40.05264447
benthos_filter_feeders,1.25,-0.000608709,0.000560699,0.999391291,0.000560699,391.9939492,183.0774627,392.2103859,183.1136223
benthos_infauna,1.25,-0.001750979,0.001152567,0.998249021,0.001152567,105.7504106,47.51620964,105.9374784,47.59256127
seabirds,1.25,0.042855415,0.044867826,1.042855415,0.044867826,0.068744724,0.033518963,0.065782148,0.031180238
turtle,1.25,-0.013457598,0.011577113,0.986542402,0.011577113,0.00731564,0.004215181,0.007411844,0.004272574
odontocetes,1.25,-0.012276563,0.01344167,0.987723437,0.01344167,0.505837459,0.298965402,0.513426597,0.305648213
baleen_whales,1.25,-0.005987676,0.014847772,0.994012324,0.014847772,0.000146837,8.76E-05,0.000147937,8.85E-05
fish_eggs,1.25,-0.004093339,0.003792405,0.995906661,0.003792405,5.964690472,1.528335505,5.989398591,1.531216769
detritus_offal,1.25,-0.011820451,0.009652684,0.988179549,0.009652684,0.813868549,0.739658875,0.82187267,0.743135754
fisheries,1.25,-0.011820451,0.009652684,0.988179549,0.009652684,3.773813608,2.569450668,3.810652448,2.578020199
pelagic_detritus,1.25,-0.000436552,0.000430774,0.999563448,0.000430774,1280.175904,247.8972393,1280.736781,248.0074371
benthic_detritus,1.25,-0.000228208,0.000372938,0.999771792,0.000372938,561.8842889,72.20140601,562.0125949,72.21826325
NO3,1.3,0,0,0,0,0,0,0,0
pelagic_NH4,1.3,0.001562399,0.001105542,1.001562399,0.001105542,3296.270606,480.4561373,3291.276177,480.7234576
benthic_NH4,1.3,-0.002079339,0.001358259,0.997920661,0.001358259,1969.776869,419.1611372,1973.755627,419.4168497
phytoplankton,1.3,0,0,1,0,6145.228686,1.42E-10,6145.228686,1.42E-10
microphytobethos,1.3,0,0,1,0,706.6794,1.26E-11,706.6794,1.26E-11
