AggGroup,scale_factor,FractionalChange_mean,FractionalChange_std,RatioChange_mean ,RatioChange_std,Production_scenario_mean ,Production_scenario_std  ,Production_base_mean ,Production_base_std
pelagic_fish_planktivore,1.2,-0.047652066,0.035365721,0.952347934,0.035365721,9.926969448,6.03E+00,10.31350985,6.07E+00
pelagic_fish_piscivore,1.2,-0.027036561,0.016613008,0.972963439,0.016613008,109.836666,4.25E+01,112.6195137,4.27E+01
pelagic_fish_apex_predator,1.2,-0.031478312,0.016744814,0.968521688,0.016744814,0.151987461,0.095565825,0.156515651,0.097456555
demersal_fish_piscivore,1.2,-9.02E-03,6.71E-03,0.990979804,6.71E-03,54.05624073,36.94264151,54.43458126,37.09701266
demersal_fish_benthivore,1.2,-1.97E-02,1.28E-02,0.980317222,1.28E-02,18.3046053,6.719148188,18.65539892,6.795824942
benthos_infauna,1.2,0.003428566,0.001606578,1.003428566,0.001606578,109.1416952,43.39502917,108.7790859,43.27403059
benthos_filter_feeders,1.2,-0.003575995,0.012057445,0.996424005,0.012057445,41.29019778,21.30257156,41.43044096,21.32236977
benthos_detritovores,1.2,0.000215509,0.001519201,1.000215509,0.001519201,14.88077432,8.693908014,14.87467155,8.684445079
benthos_epifauna,1.2,-0.013526429,0.011212357,0.986473571,0.011212357,146.5657723,43.85453168,148.5500371,44.32810488
seabirds,1.2,-0.007309631,0.004287954,0.992690369,0.004287954,122.2439739,57.1379584,123.0424215,57.4027364
baleen_whales,1.2,-0.033255578,0.02116891,0.966744422,0.02116891,5.038951573,2.59E+00,5.193532375,2.63E+00
odontocetes,1.2,-0.020234682,0.016969254,0.979765318,0.016969254,2.794635103,1.40E+00,2.854661558,1.43E+00
pinnipeds,1.2,-0.016870644,0.009578411,0.983129356,0.009578411,4.904445948,2.58E+00,4.979887449,2.61E+00
detritus_offal,1.2,-0.004529971,0.00210147,0.995470029,0.00210147,203.5940521,59.64133827,204.4966676,59.82549715
fisheries,1.2,-0.025314314,0.014267363,0.974685686,0.014267363,8.324652647,3.616280325,8.528047162,3.667854936
pelagic_detritus,1.2,-0.001475802,0.001120875,0.998524198,0.001120875,1384.264321,418.8604999,1386.121719,419.0048504
benthic_detritus,1.2,0.003428566,0.001606578,1.003428566,0.001606578,249.2848859,39.12276358,248.4481512,39.08110367
NO3,1.25,0,0,0,0,0,0,0,0
pelagic_NH4,1.25,-0.00202999,0.001003257,0.99797001,0.001003257,3796.604587,417.8868513,3804.15788,417.2685096
benthic_NH4,1.25,6.83E-05,0.001202954,1.000068291,0.001202954,1642.738888,328.0204911,1642.694366,328.398786
lg_phytoplankton,1.25,0,0,1,0,7511.602896,1.78E-10,7511.602896,1.78E-10
sm_phytoplankton,1.25,0,0,1,0,1022.827288,9.90E-12,1022.827288,9.90E-12
micro-zooplankton,1.25,-0.000952044,0.000743205,0.999047956,0.000743205,4280.326864,1319.611427,4284.182856,1320.413852
meso-zooplankton,1.25,-0.000340284,0.000349071,0.999659716,0.000349071,2545.162117,853.9163895,2545.927923,853.8679299
macro-zooplankton,1.25,-0.039104515,0.022070375,0.960895485,0.022070375,437.8258761,182.003484,453.9173248,184.0760253
eupahusiids,1.25,-0.006263544,0.006952974,0.993736456,0.006952974,874.3722033,397.8934841,878.8370347,397.8637248
gelatinous_zoop,1.25,-0.021041108,0.0152411,0.978958892,0.0152411,495.8509288,2.40E+02,505.1274336,2.41E+02
large_jellyfish,1.25,0.232789218,0.017176597,1.232789218,0.017176597,232.4873399,9.33E+01,188.6746153,7.58E+01
cepahlopods,1.25,-0.05800728,0.037439742,0.94199272,0.037439742,25.83294097,12.70187538,27.27857146,13.02609029
forage_fish,1.25,-4.07E-02,2.43E-02,0.959271108,2.43E-02,147.112323,64.37002765,152.7771205,65.2790529
juvenile_fish,1.25,-7.74E-02,4.10E-02,0.922602829,4.10E-02,48.53709452,25.02364148,52.46847812,26.53292767
pelagic_fish_planktivore,1.25,-0.058084932,0.042313303,0.941915068,0.042313303,9.84080417,6.01540514,10.31350985,6.069933853
pelagic_fish_piscivore,1.25,-0.032796061,0.019382097,0.967203939,0.019382097,109.2437022,42.40629117,112.6195137,42.73921954
pelagic_fish_apex_predator,1.25,-0.038517821,0.020271996,0.961482179,0.020271996,0.150977887,0.095163817,0.156515651,0.097456555
demersal_fish_piscivore,1.25,-0.011073907,0.008225904,0.988926093,0.008225904,53.97003469,3.69E+01,54.43458126,3.71E+01
demersal_fish_benthivore,1.25,-0.024360488,0.015871091,0.975639512,0.015871091,18.22098574,6.7017713,18.65539892,6.795824942
benthos_infauna,1.25,0.004246265,0.001997619,1.004246265,0.001997619,109.2282493,43.42416852,108.7790859,43.27403059
benthos_filter_feeders,1.25,-0.00448513,0.015060993,0.99551487,0.015060993,41.25435343,21.29896853,41.43044096,21.32236977
benthos_detritovores,1.25,0.000257138,0.001889542,1.000257138,0.001889542,14.88208166,8.696069773,14.87467155,8.684445079
benthos_epifauna,1.25,-0.016877577,0.014004946,0.983122423,0.014004946,146.0738989,43.74656894,148.5500371,44.32810488
seabirds,1.25,-0.009019455,0.005285425,0.990980545,0.005285425,122.0563152,57.07454393,123.0424215,57.4027364
baleen_whales,1.25,-0.040411403,0.024895214,0.959588597,0.024895214,5.005326981,2.586461006,5.193532375,2.630135162
odontocetes,1.25,-0.024783343,0.020906066,0.975216657,0.020906066,2.781064226,1.390387127,2.854661558,1.430340762
pinnipeds,1.25,-0.020647039,0.011621852,0.979352961,0.011621852,4.887754689,2.58E+00,4.979887449,2.61E+00
detritus_offal,1.25,-0.005596034,0.002615204,0.994403966,0.002615204,203.3814766,5.96E+01,204.4966676,5.98E+01
fisheries,1.25,-0.030844614,0.016988699,0.969155386,0.016988699,8.280343495,3.61E+00,8.528047162,3.67E+00
pelagic_detritus,1.25,-0.001841758,0.0013988,0.998158242,0.0013988,1383.803449,418.824437,1386.121719,419.0048504
benthic_detritus,1.25,0.004246265,0.001997619,1.004246265,0.001997619,249.4844216,39.13317153,248.4481512,39.08110367
NO3,1.3,0,0,0,0,0,0,0,0
