AggGroup,scale_factor,FractionalChange_mean,FractionalChange_std,RatioChange_mean ,RatioChange_std,Production_scenario_mean ,Production_scenario_std  ,Production_base_mean ,Production_base_std
seabirds,1.35,-0.071121232,0.061269068,0.928878768,0.061269068,3.283601698,2.46655827,3.48130731,2.536373638
odontocetes,1.35,-0.069621843,0.051932181,0.930378157,0.051932181,4.21854607,2.126347337,4.507419244,2.190963303
turtle,1.35,0.197847057,0.123515549,1.197847057,0.123515549,0.001438521,0.001478723,0.001175351,0.001168638
detritusOffal,1.35,-0.062112938,0.051637518,0.937887062,0.051637518,545.506851,262.2499909,574.7016749,263.599928
fisheries,1.35,-0.067073587,0.048979776,0.932926413,0.048979776,38.63666268,17.77796043,41.02754063,17.93291297
pelagic detritus,1.35,0.000349203,0.000297409,1.000349203,0.000297409,2368.66923,674.3391505,2367.899206,674.3131049
benthic detritus,1.35,0.007418007,0.005147942,1.007418007,0.005147942,379.2719285,65.3710317,376.4783443,64.8256998
NO3,1.4,0,0,0,0,0,0,0,0
pelagicNH4,1.4,-0.008609547,0.005321015,0.991390453,0.005321015,6190.677451,6.28E+02,6242.703783,6.16E+02
benthicNH4,1.4,0.029108043,0.015378315,1.029108043,0.015378315,917.4287123,2.63E+02,891.7739353,2.56E+02
lg_phytoplankton,1.4,0,0,1,0,8078.9745,2.15E-10,8078.9745,2.15E-10
sm_phytoplankton,1.4,0,0,1,0,3263.49,7.46E-11,3263.49,7.46E-11
microZoop,1.4,0.000488923,0.000425453,1.000488923,0.000425453,5076.952265,1129.965886,5074.712771,1130.412196
mesoZoop,1.4,3.06E-05,2.49E-05,1.000030564,2.49E-05,2698.262933,971.1095939,2698.185147,971.0904056
macroZoop,1.4,5.96E-05,7.38E-05,1.000059594,7.38E-05,1199.465109,530.1683313,1199.405317,530.1613163
gelatinousZoop,1.4,-0.205207292,0.189537687,0.794792708,0.189537687,0.014181063,0.01158584,0.018369378,0.013869829
jellyfish,1.4,0.37668499,0.026244646,1.37668499,0.026244646,502.7472377,269.6778669,364.4933266,196.4193074
macrobenthos,1.4,0.008423413,0.005773699,1.008423413,0.005773699,14.26140704,17.72485096,14.14050134,17.56034401
forage_fish,1.4,-0.070603952,0.058485898,0.929396048,0.058485898,1355.841293,590.3585029,1438.951543,586.5548569
mesopelagic,1.4,-0.116881918,0.088793259,0.883118082,0.088793259,153.3728813,81.65723078,172.1428689,86.6667051
cephalopods,1.4,-0.096056457,0.0653215,0.903943543,0.0653215,32.34704395,23.52600327,35.49804108,25.28956206
pelagicFishPlanktivore,1.4,-0.139308849,0.146621058,0.860691151,0.146621058,106.374889,65.68906132,124.8972703,73.6880428
pelagicFishPiscivore,1.4,-0.084245595,0.052572065,0.915754405,0.052572065,122.0267426,67.0063584,132.3813448,70.25997706
demersalFishPiscivore,1.4,-0.087171736,0.062715705,0.912828264,0.062715705,23.40642198,9.989561175,25.47973901,10.32246111
demersalFishBenthivore,1.4,-0.08610686,0.103933264,0.91389314,0.103933264,86.67671249,42.69865201,95.06010572,45.08407423
pelagicFishApexPred,1.4,-0.080733831,0.047605598,0.919266169,0.047605598,0.147662398,0.104624617,0.159640314,0.110636538
seabirds,1.4,-0.080687612,0.068708279,0.919312388,0.068708279,3.256558902,2.457320722,3.48130731,2.536373638
odontocetes,1.4,-0.078966557,0.057200038,0.921033443,0.057200038,4.179379828,2.117815766,4.507419244,2.190963303
turtle,1.4,0.225769091,0.138849265,1.225769091,0.138849265,0.001475309,0.00152359,0.001175351,0.001168638
detritusOffal,1.4,-0.070603952,0.058485898,0.929396048,0.058485898,541.4836439,262.0997714,574.7016749,263.599928
fisheries,1.4,-0.076165644,0.054884666,0.923834356,0.054884666,38.30973443,17.75951212,41.02754063,17.93291297
pelagic detritus,1.4,0.000396288,0.000332856,1.000396288,0.000332856,2368.773205,674.3432139,2367.899206,674.3131049
benthic detritus,1.4,0.008423413,0.005773699,1.008423413,0.005773699,379.6496532,6.54E+01,376.4783443,6.48E+01
NO3,1.45,0,0,0,0,0,0,0,0
pelagicNH4,1.45,-0.00962787,0.005891732,0.99037213,0.005891732,6184.514302,629.8472104,6242.703783,616.3012919
benthicNH4,1.45,0.032602443,0.017190127,1.032602443,0.017190127,920.5024461,263.7901226,891.7739353,256.3127934
lg_phytoplankton,1.45,0,0,1,0,8078.9745,2.15E-10,8078.9745,2.15E-10
sm_phytoplankton,1.45,0,0,1,0,3263.49,7.46E-11,3263.49,7.46E-11
microZoop,1.45,0.000546197,0.000471049,1.000546197,0.000471049,5077.214747,1129.915013,5074.712771,1130.412196
mesoZoop,1.45,3.42E-05,2.77E-05,1.000034192,2.77E-05,2698.272137,971.111696,2698.185147,971.0904056
macroZoop,1.45,6.64E-05,8.02E-05,1.000066379,8.02E-05,1199.472052,530.1692413,1199.405317,530.1613163
gelatinousZoop,1.45,-0.227432902,0.202050883,0.772567098,0.202050883,0.013753391,1.14E-02,0.018369378,1.39E-02
